node,handle,topic_type,topics,post_count,engagement,in_degree,out_degree,weighted_in_degree,weighted_out_degree
did:plc:f4q4dz4a57oqqlpjr7n7ehxj,mm-gazzetta-sport.bsky.social,tennis_only,['tennis'],1,0,0,0,0,0
did:plc:3cvlxqk3hix5m7s4uono7k3l,rpfnyc.bsky.social,tennis_only,['tennis'],1,1,0,0,0,0
did:plc:pkhdhq2cw7ynpgev4ogs2kau,tennisontelly.bsky.social,tennis_only,['tennis'],2,2,0,0,0,0
did:plc:t4clrt3f4rtwzixc6hyuxvjj,andrewblue23.bsky.social,tennis_only,['tennis'],1,2,0,0,0,0
did:plc:mwvfiasljqqh7ijquv4fbwbo,latorrecollons.bsky.social,tennis_only,['tennis'],1,0,0,0,0,0
did:plc:cmqqzjejzjjie6bj23bpvbgu,crunchyfrog.bsky.social,tennis_only,['tennis'],1,0,0,0,0,0
did:plc:lsbt4og7uy2nttwv6b66etk5,luna2isinthegym.bsky.social,tennis_only,['tennis'],1,2,0,0,0,0
did:plc:acl6fquoypv7txy2hhodobur,koolbadges.co.uk,tennis_only,['tennis'],1,0,0,0,0,0
did:plc:edlhbnew2fu4x3huxgrtybsp,ilpost.it,tennis_only,['tennis'],1,0,0,0,0,0
did:plc:3ositppams53t5xdu2ugqkos,aickyway.bsky.social,tennis_only,['tennis'],1,0,0,0,0,0
did:plc:rpraomxl4qbdazg322vwsno4,rawchili.bsky.social,tennis_only,['tennis'],6,0,0,0,0,0
did:plc:5ekaaudi6pc22b4axp54hqre,fr-france.bsky.social,tennis_only,['tennis'],3,0,0,0,0,0
did:plc:yrbn43bw3nqvikhzaybit6jo,nyxiaeleven.bsky.social,tennis_only,['tennis'],1,0,0,0,0,0
did:plc:q5k65enx7jk7g5eln5kef372,topuk.deals,tennis_only,['tennis'],1,0,0,0,0,0
did:plc:g2tyft5uo5akgxstmwk66w27,verymuchabot.bsky.social,tennis_only,['tennis'],1,0,0,0,0,0
did:plc:bpfxa4ech5cdtlemezr522lz,ee-uudised.bsky.social,tennis_only,['tennis'],1,0,0,0,0,0
did:plc:qvidzz7dm76lanyikijwp4c4,themanilatimes.bsky.social,tennis_only,['tennis'],1,1,0,0,0,0
did:plc:2i6v2zkbw67rkkntjveq4mxf,chrisweedon.bsky.social,tennis_only,['tennis'],1,0,0,0,0,0
did:plc:i2d5upg5bqyrxxkbok2cxa7k,gamedropstation.bsky.social,tennis_only,['tennis'],2,2,0,0,0,0
did:plc:uljnr7odc4pa4fdbknae6qnn,kevanaponte.bsky.social,tennis_only,['tennis'],1,0,0,0,0,0
did:plc:cbdwc5wznkbsos7vvor6cckt,tennis365com.bsky.social,tennis_only,['tennis'],24,98,0,0,0,0
did:plc:6r4thwiqjylw2uomltnfs4yz,whoissalt.bsky.social,tennis_only,['tennis'],1,2,0,0,0,0
did:plc:qxuhxhbb5tllifsgvxypeymm,chatnewstv.bsky.social,tennis_only,['tennis'],1,0,0,0,0,0
did:plc:bcter54hlaaur2nxmypqqnpp,coriolanus-snow.bsky.social,tennis_only,['tennis'],1,3,0,0,0,0
did:plc:74t5swjofzlj77nta2lczarn,bartvh.bsky.social,tennis_only,['tennis'],1,4,0,0,0,0
did:plc:v3egc3wk5hi3k6vdc4q3kpez,evepro.bsky.social,tennis_only,['tennis'],1,2,0,0,0,0
did:plc:ch7njfv346mlmkepjdlvim4y,wlosradio.bsky.social,tennis_only,['tennis'],1,0,0,0,0,0
did:plc:56i5k4rdeizxjwiot7kufsqq,eu-de.bsky.social,tennis_only,['tennis'],1,0,0,0,0,0
did:plc:jqwumbk44e6wnyag5uueauej,sophia-bennett.bsky.social,tennis_only,['tennis'],29,4,0,0,0,0
